,Age,Artists,Best number of players,Categories,Designer,Family,Mechanisms,Name,Number of players,Playing time,Publishers,Rating,Weight,Year
0,12+,"['Alexandr Elichev', 'Josh T. McDowell', 'Alvaro Nebot']",— Best: 3,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']",['Isaac Childres'],"['Campaign Games', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Dungeon Crawler', 'Gloomhaven Universe', 'Legacy', 'Solitaire Games']","['Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Grid Movement', 'Hand Management', 'Legacy Game', 'Modular Board', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']",Gloomhaven,1–4,60–120,"['Cephalofair Games', 'Albi', 'Asmodee', 'Feuerland Spiele', 'Games Warehouse', 'Gém Klub Kft.', 'Hobby World', 'Korea Boardgames co., Ltd.', 'MYBG Co., Ltd.']",8.8,3.82,2017
1,13+,['Chris Quilliams'],— Best: 4,"['Environmental', 'Medical']","['Rob Daviau', 'Matt Leacock']","['Campaign Games', 'Legacy', 'Pandemic']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']",Pandemic Legacy: Season 1,2–4,60,"['Z-Man Games, Inc.', 'Asterion Press', 'Devir', 'Filosofia Éditions', 'Gém Klub Kft.', 'Hobby Japan', 'Jolly Thinkers', 'Korea Boardgames co., Ltd.', 'Lacerta', 'Lifestyle Boardgames Ltd', 'MINDOK']",8.6,2.83,2015
2,12+,['Isaac Fryxelius'],— Best: 3,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']",['Jacob Fryxelius'],"[""Fryxgames' Future Timeline"", 'Planets: Mars', 'Solar System', 'Solitaire Games', 'Tableau Building', 'Terraforming Mars']","['Card Drafting', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Take That', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers']",Terraforming Mars,1–5,120,"['FryxGames', 'Arclight', 'Fantasmagoria', 'Ghenos Games', 'Intrafin Games', 'Kilogames', 'Korea Boardgames co., Ltd.', 'Lautapelit.fi', 'Lavka Games', 'Lex Games', 'Maldito Games', 'Meeple BR Jogos', 'MINDOK', 'MYBG Co., Ltd.', 'NeoTroy Games', 'Rebel', 'Reflexshop', 'Schwerkraft-Verlag', 'Siam Board Games', 'Stronghold Games']",8.4,3.23,2016
3,14+,"['Lina Cossette', 'David Forest', 'Damien Mammoliti']",— Best: 3–4,"['Economic', 'Industry / Manufacturing', 'Transportation']","['Gavan Brown', 'Matt Tolman', 'Martin Wallace']","['Beer', 'Brass', 'Cities: Birmingham (England)', 'Country: England', 'Crowdfunding: Kickstarter', 'Industrial Revolution']","['Connections', 'Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Setup']",Brass: Birmingham,2–4,60–120,"['Roxley', 'BoardM Factory', 'Conclave Editora', 'CrowD Games', 'Funforge', 'Ghenos Games', 'Giant Roc', 'Maldito Games', 'PHALANX']",8.6,3.92,2018
4,14+,"['Filip Murmak', 'Radim Pech', 'Jakub Politzer', 'Milan Vavroň']",— Best: 3,"['Card Game', 'Civilization', 'Economic']",['Vlaada Chvátil'],"['Tableau Building', 'Through the Ages']","['Action Points', 'Auction/Bidding', 'Auction: Dutch', 'Card Drafting', 'Income']",Through the Ages: A New Story of Civilization,2–4,120,"['Czech Games Edition', 'Cranio Creations', 'Devir', 'DiceTree Games', 'Eagle-Gryphon Games', 'GaGa Games', 'Gém Klub Kft.', 'HeidelBÄR Games', 'Heidelberger Spieleverlag', 'IELLO', 'MINDOK', 'One Moment Games', 'Rebel']",8.5,4.39,2015
5,14+,['Scott Schomburg'],— Best: 6,"['Civilization', 'Economic', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Dane Beltrami', 'Corey Konieczka', 'Christian T. Petersen']","['4X games', 'Components: Miniatures', 'Twilight Imperium']","['Action Drafting', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Modular Board', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Voting']",Twilight Imperium (Fourth Edition),3–6,240–480,"['Fantasy Flight Games', 'ADC Blackfire Entertainment', 'Arclight', 'Asmodee', 'Asterion Press', 'Edge Entertainment', 'Galakta', 'Galápagos Jogos', 'Hobby World', 'Playfun Games']",8.7,4.21,2017
6,13+,"['Viktor Csete', 'Rodger B. MacGowan', 'Chechu Nieto', 'Guillaume Ries', 'Mark Simonitch']",— Best: 2,"['Modern Warfare', 'Political', 'Wargame']","['Ananda Gupta', 'Jason Matthews']","['Cold War', 'Country: Soviet Union', 'Country: USA', ""Decades: 50's"", ""Decades: 60's"", ""Decades: 70's"", ""Decades: 80's"", 'Historical Figures: Fidel Castro', 'Twilight Struggle']","['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Tug of War']",Twilight Struggle,2,120–180,"['GMT Games', '(Self-Published)', 'Asterion Press', 'Bard Centrum Gier', 'Chrononauts Games', 'Devir', 'DiceTree Games', 'GaGa Games', 'MINDOK', 'PHALANX', 'Udo Grebe Gamedesign', 'Wargames Club Publishing']",8.3,3.57,2005
7,14+,"['Matt Allsopp', 'David Ardila', 'Balaskas', 'Tiziano Baracchi', 'Ryan Barger', 'Jorge Barrero', 'Cassandre Bolan', 'Jon Bosco', 'Matt Bradbury', 'Adam Burn', 'Alexandre Dainche', 'Christina Davis', 'Anthony Devine', 'Allen Douglas', 'Jose Mikhail Elloso', 'Tony Foti', 'Michele Frigo', 'Mariusz Gandzel', 'Zach Graves', 'Richard Hanuschek', 'Christopher Hosch', 'Andrew Johanson', 'Jeff Lee Johnson', 'Jason Juta', 'Adam Lane', 'Ignacio Bazán Lazcano', 'Ralph McQuarrie', 'Mark Molnar', 'Jake Murray', 'Ameen Naksewee', 'David Auden Nash', 'Mike Nash', 'Maciej Rebisz', 'Alexandru Sabo', 'Tony Shasteen', 'Samuel Shimota', 'Stephen Somers', 'Matthew Starbuck', 'Nicholas Stohlman', 'Angela Sung', 'Darren Tan', 'Ryan Valle', 'Jose Vega', 'VIKO', 'Magali Villeneuve', 'Jacob Walker', 'Ben Zweifel']",— Best: 2,"['Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']",['Corey Konieczka'],"['Components: Miniatures', 'Star Wars']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Team-Based Game', 'Variable Player Powers']",Star Wars: Rebellion,2–4,180–240,"['Fantasy Flight Games', 'ADC Blackfire Entertainment', 'Asterion Press', 'Delta Vision Publishing', 'Edge Entertainment', 'Galakta', 'Galápagos Jogos', 'Heidelberger Spieleverlag', 'Hobby World']",8.4,3.70,2016
8,12+,['Dennis Lohausen'],— Best: 3–4,"['Civilization', 'Economic', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Jens Drögemüller', 'Helge Ostertag']","['Solitaire Games', 'Tableau Building', 'Terra Mystica']","['Area Majority / Influence', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Setup', 'Victory Points as a Resource']",Gaia Project,1–4,60–150,"['Feuerland Spiele', 'Cranio Creations', 'DiceTree Games', 'Edge Entertainment', 'Game Harbor', 'Games Factory', 'Hobby World', 'Maldito Games', 'Mandala Jogos', 'Reflexshop', 'テンデイズゲームズ (Ten Days Games)', 'White Goblin Games', 'Z-Man Games, Inc.']",8.5,4.32,2017
9,12+,"['Alexander Pfister', 'Andreas Resch']",— Best: 3,"['American West', 'Animals']",['Alexander Pfister'],"['Animals: Cattle', 'Great Western Trail', 'Stronghold Games: The Great Designers Series']","['Deck, Bag, and Pool Building', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Variable Setup']",Great Western Trail,2–4,75–150,"['eggertspiele', '999 Games', 'Arclight', 'Broadway Toys LTD', 'Conclave Editora', 'Delta Vision Publishing', 'Ediciones MasQueOca', 'Gigamic', 'Korea Boardgames co., Ltd.', 'Lacerta', 'Ludicus', 'MINDOK', 'Pegasus Spiele', 'Plan B Games', 'Stronghold Games', 'uplay.it edizioni', 'Zvezda']",8.3,3.69,2016
